strategy,removed_stations,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_share_loss,reachable_share_loss
weighted_degree,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
weighted_degree,29,21594.0,21623.0,3.0,21590.0,0.9984738472922351,96.0,0.0,7514.322916666667,0.34753135309715416,2401.9380748071585,0.00138741155251354,0.002932005981562069
weighted_degree,57,21566.0,21623.0,5.0,21560.0,0.9970864357397216,96.0,1.0,7392.96875,0.34191882110813054,2410.2182709937506,0.00277482310502708,0.008544537970585686
weighted_degree,86,21537.0,21623.0,9.0,21504.0,0.9944966008416963,96.0,1.0,7334.0625,0.3391944547220423,2413.2170619346784,0.005364658003052303,0.011268904356673937
weighted_degree,114,21509.0,21623.0,12.0,21473.0,0.9930629422374324,96.0,1.0,7251.645833333333,0.3353827505935312,2418.461865678684,0.006798316607316224,0.015080608485185054
weighted_degree,143,21480.0,21623.0,17.0,21435.0,0.9913055542709153,96.0,1.0,7198.822916666667,0.33293973345049793,2422.35467066637,0.008555704573833367,0.017523625628218298
weighted_degree,171,21452.0,21623.0,17.0,21407.0,0.9900106368219026,96.0,1.0,7158.8125,0.33108928406252897,2426.349889871434,0.009850622022846034,0.019374075016187264
weighted_degree,200,21423.0,21623.0,23.0,21284.0,0.9843222494565972,96.0,1.0,7068.677083333333,0.3269205939937718,2426.67342804341,0.015539009388151448,0.023542765084944406
pagerank,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
pagerank,29,21594.0,21623.0,4.0,21585.0,0.9982426120334829,96.0,1.0,7282.0625,0.33678949680880593,2401.1731704250387,0.0016186468112657781,0.013673862269910297
pagerank,57,21566.0,21623.0,6.0,21533.0,0.9958377653424594,96.0,1.0,7224.927083333333,0.3341470300311411,2406.8573621188298,0.004023493502289255,0.01631632904757513
pagerank,86,21537.0,21623.0,8.0,21501.0,0.994357859686445,96.0,1.0,7113.729166666667,0.32900421638454663,2411.3770900393606,0.005503399158303668,0.021459142694169597
pagerank,114,21509.0,21623.0,9.0,21471.0,0.9929704481339314,96.0,1.0,7062.989583333333,0.3266575517220114,2414.2185276513837,0.006890810710817208,0.023805807356704844
pagerank,143,21480.0,21623.0,11.0,21440.0,0.9915367895296675,96.0,1.0,6989.34375,0.32325149153639815,2422.6436086069925,0.008324469315081129,0.02721186754231808
pagerank,171,21452.0,21623.0,13.0,21410.0,0.990149377977154,96.0,1.0,6897.25,0.3189922301359725,2429.182982513346,0.009711880867594669,0.03147112894274373
pagerank,200,21423.0,21623.0,18.0,21363.0,0.9879757665448827,96.0,1.0,6754.635416666667,0.3123964210834642,2427.089609604939,0.011885492299865907,0.038066937995252015
approx_betweenness,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
approx_betweenness,29,21594.0,21623.0,6.0,21554.0,0.9968089534292189,96.0,0.0,7006.40625,0.3240406183516788,2398.813622061654,0.003052305415529699,0.02642274072703743
approx_betweenness,57,21566.0,21623.0,7.0,21523.0,0.9953752948249549,96.0,0.0,6877.114583333333,0.3180609834119569,2397.9332171110736,0.004485964019793731,0.03240237566675935
approx_betweenness,86,21537.0,21623.0,8.0,21493.0,0.9939878832724414,96.0,0.0,6737.75,0.31161548422902596,2398.6400050878115,0.005873375572307271,0.03884787484969027
approx_betweenness,114,21509.0,21623.0,10.0,21463.0,0.9926004717199278,96.0,1.0,6615.53125,0.30596296596059563,2403.1386282119197,0.007260787124820811,0.044500393118120596
approx_betweenness,143,21480.0,21623.0,12.0,21431.0,0.9911205660639134,96.0,1.0,6456.09375,0.298589110628064,2391.58075968478,0.008740692780835224,0.05187424845065225
approx_betweenness,171,21452.0,21623.0,16.0,21399.0,0.989640660407899,96.0,1.0,6322.40625,0.29240617195449065,2398.00214504045,0.010220598436849637,0.058057187124225584
approx_betweenness,200,21423.0,21623.0,19.0,21363.0,0.9879757665448827,96.0,2.0,6041.302083333333,0.279405331760861,2397.4855812137293,0.011885492299865907,0.07105802731785521
articulation_degree,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
articulation_degree,29,21594.0,21623.0,33.0,21443.0,0.9916755306849189,96.0,0.0,7433.65625,0.3438005850522617,2403.541871477631,0.008185728159829764,0.006662774026454543
articulation_degree,57,21566.0,21623.0,66.0,21245.0,0.9825186144383296,96.0,0.0,7319.4375,0.33851806030894455,2349.3678641167985,0.017342644406419083,0.011945298769771684
articulation_degree,86,21537.0,21623.0,97.0,21027.0,0.9724367571567313,96.0,1.0,7124.854166666667,0.3295187386304072,2355.755041833008,0.027424501688017355,0.020944620448309026
articulation_degree,114,21509.0,21623.0,127.0,20765.0,0.9603200295981131,96.0,2.0,6874.708333333333,0.3179496962969815,2325.6978150355167,0.0395412292466355,0.03251366278173473
articulation_degree,143,21480.0,21623.0,159.0,20576.0,0.9515793368172779,96.0,2.0,6791.15625,0.31408548006659887,2327.891846403389,0.048281922027470725,0.036377879012117365
articulation_degree,171,21452.0,21623.0,189.0,20401.0,0.943486102760949,96.0,2.0,6728.552083333333,0.3111900880276262,2327.265172659101,0.056375156083799616,0.03927327105109002
articulation_degree,200,21423.0,21623.0,218.0,20235.0,0.9358090921703741,96.0,2.0,6667.427083333333,0.3083631062498073,2326.9514407678116,0.06405216667437452,0.042100252828908946
random_mean,0,21623.0,21623.0,2.0,21620.0,0.9998612588447487,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,-1.1102230246251565e-16,0.0
random_mean,29,21594.0,21623.0,3.0,21587.666666666668,0.9983659375048174,96.0,0.0,7562.284722222223,0.3497495477856914,2399.2735355915106,0.0014953213399312437,0.0007138112930248353
random_mean,57,21566.0,21623.0,3.3333333333333335,21552.333333333332,0.9967318750096349,96.0,0.0,7539.28125,0.34868565581352323,2399.5095069271815,0.0031293838351137415,0.001777703265192998
random_mean,86,21537.0,21623.0,6.0,21519.333333333332,0.9952057223018699,96.0,0.6666666666666666,7494.36111111111,0.34660813574651334,2399.2801210920666,0.004655536542878758,0.003855223332202895
random_mean,114,21509.0,21623.0,4.666666666666667,21493.666666666668,0.994018714640275,96.0,0.6666666666666666,7477.652777777778,0.34583538885291726,2399.538828782101,0.00584254420447361,0.004627970225798972
random_mean,143,21480.0,21623.0,8.666666666666666,21439.333333333332,0.9915059581618338,96.0,0.0,7469.572916666667,0.3454617018160515,2398.1801504992727,0.00835530068291479,0.005001657262664716
random_mean,171,21452.0,21623.0,10.0,21420.333333333332,0.9906272641785753,96.0,0.3333333333333333,7451.60763888889,0.34463082225922165,2400.3027771599923,0.009233994666173362,0.005832536819494583
random_mean,200,21423.0,21623.0,10.666666666666666,21387.333333333332,0.9891011114708105,96.0,0.3333333333333333,7420.732638888888,0.34320287849823733,2399.4027263036955,0.010760147373938156,0.007260480580478901
